"","personid","yob","sex","edu","childincomecompare","adultincome","y92_simscore","y04_letterflu","y04_catflu","y04_simscore","y04_digit","y04_imrecall","y11_remember","y11_solve","y11_letterflu","y11_catflu","y11_digit","y11_imrecall","y04_involvechar","y04_involveorgs","y04_volrarelythink","y04_volloss","y04_volselfimport","y04_involvehobby","y04_involveinstru10","y04_involveinstru35"
"2",900021,38,1,3,5,74000,9,-4,-4,-4,8,7,2,1,16,22,6,6,1,1,4,6,6,3,3,3
"4",900026,39,1,4,3,52000,7,5,-2,3,6,7,1,1,6,-2,6,5,2,1,6,1,1,-3,3,3
"7",900042,39,1,-2,4,129000,9,14,31,7,8,6,2,1,10,22,8,6,1,3,1,7,7,1,3,3
"8",900043,38,1,-2,3,0,3,2,16,6,9,5,1,1,7,23,10,6,1,1,1,4,6,1,3,3
"10",900069,39,1,4,4,118000,8,20,19,10,8,6,1,1,14,21,6,6,1,2,5,7,7,1,2,2
"14",900078,39,2,-2,5,268400,8,21,26,9,10,9,1,1,16,23,9,8,3,1,6,3,3,1,3,3
"15",900079,39,1,-2,3,35200,6,12,20,6,6,4,2,2,5,14,10,5,2,1,4,5,5,1,3,3
"19",900101,39,2,-2,3,26000,7,-2,-2,6,-2,-2,1,1,-30,-30,-30,-30,1,2,7,1,1,4,3,3
"20",900106,39,1,3,3,73500,8,19,36,10,8,6,1,1,15,20,7,5,1,3,1,7,7,2,2,2
"22",900117,39,2,-2,3,18000,5,9,16,9,6,6,1,1,9,15,6,3,1,1,5,5,7,1,2,2
"23",900126,39,1,-2,4,20000,12,7,14,10,7,6,2,2,-4,18,0,6,1,1,1,1,1,1,3,3
"24",900134,39,2,3,3,58000,9,14,14,8,2,-4,1,1,11,19,4,6,2,2,7,5,1,2,1,1
"25",900145,39,1,2,3,42500,4,10,-2,3,10,7,2,1,9,-2,5,6,1,1,5,7,5,1,3,3
"26",900147,39,1,-2,2,45000,8,11,16,5,5,4,2,1,14,20,6,3,1,1,2,4,4,1,3,3
"32",900167,39,2,-2,3,60000,13,9,-2,10,10,7,2,1,10,-2,8,5,3,1,6,5,4,1,3,3
"34",900174,39,1,3,1,35000,6,19,-2,6,5,5,2,2,11,-2,6,3,1,1,1,6,5,1,3,3
"36",900177,39,2,-2,3,18300,7,-2,-2,8,-2,-2,2,2,12,-2,-2,-2,5,1,7,1,6,1,3,3
"37",900181,39,2,2,4,65000,13,-4,-4,-4,11,6,1,1,17,17,10,7,3,1,6,6,6,1,3,2
"38",900183,39,2,-2,3,50000,1,8,28,7,6,4,1,1,7,19,6,4,1,1,2,6,5,1,3,3
"39",900189,39,1,3,4,194000,7,19,-2,7,5,7,1,1,10,-2,10,5,4,4,6,6,6,1,3,3
"41",900205,39,1,-2,3,56800,6,-2,-2,6,-2,-2,1,1,-30,-30,-30,-30,3,1,5,5,5,1,2,2
"42",900207,38,2,-2,3,35500,4,-2,-2,6,-2,-2,1,1,14,-2,-2,-2,1,1,3,6,6,1,3,3
"43",900208,39,2,-2,3,0,8,-4,-4,-4,7,7,2,1,5,20,8,8,1,1,4,6,6,3,3,3
"44",900209,39,1,-2,3,87000,6,12,25,8,9,6,1,1,-3,23,10,4,1,1,2,6,6,1,3,3
"46",900215,39,2,2,3,75000,8,13,21,7,6,6,1,1,-30,-30,-30,-30,3,1,6,3,3,4,2,2
"47",900217,39,1,3,3,21000,12,12,29,7,9,5,1,1,9,22,11,6,4,1,7,1,1,1,3,3
"48",900218,39,2,-2,4,53000,9,12,21,6,6,4,1,1,8,19,10,4,1,3,3,7,7,1,3,3
"49",900221,39,1,4,3,0,8,10,17,6,-5,-5,2,1,10,16,6,3,3,2,4,5,5,3,2,2
"51",900229,38,1,-2,3,12000,1,6,14,1,1,4,1,1,-4,-3,0,5,1,4,-3,-3,-3,1,3,3
"58",900247,38,2,-2,3,50000,3,-2,-2,1,-2,-2,1,1,3,-2,-2,-2,-3,-3,-3,-3,1,-3,-3,-3
"60",900252,39,2,3,3,38400,12,14,-2,11,10,7,2,2,17,-2,10,9,1,1,1,6,6,1,2,2
"63",900267,39,1,-2,-3,61200,11,4,24,9,7,5,1,1,-4,29,10,5,1,1,1,7,7,1,3,3
"65",900271,39,2,-2,3,42600,8,10,19,7,8,7,1,1,11,10,7,6,1,1,2,6,6,1,3,3
"66",900273,38,1,-2,4,80000,8,18,18,8,6,5,1,1,21,22,11,4,1,1,4,7,7,1,1,1
"67",900274,40,2,-2,3,0,12,10,-2,8,6,6,1,1,8,-2,5,6,3,1,7,3,3,1,1,1
"68",900275,39,2,-2,3,59000,10,-2,-2,11,-2,-2,1,1,10,-2,-2,-2,3,1,4,5,5,1,2,1
"71",900286,39,1,-2,3,71000,7,5,20,9,3,5,2,1,6,10,4,5,1,1,2,6,2,1,1,1
"72",900295,38,1,-2,3,0,6,8,15,7,4,6,1,1,11,16,9,5,5,2,7,2,2,2,3,3
"73",900299,40,2,-2,3,42500,10,10,20,7,6,5,2,1,11,18,8,5,1,1,7,2,2,2,2,2
"75",900309,40,1,2,3,81500,5,8,12,4,10,7,1,1,6,7,9,3,1,1,4,6,4,3,3,3
"78",900316,39,2,-2,3,62200,9,8,15,6,9,5,2,3,9,17,9,4,2,1,3,6,6,1,-3,-3
"79",900317,39,2,-2,4,40000,6,4,14,5,5,7,2,1,8,15,7,4,2,2,3,6,4,1,3,3
"81",900329,39,2,-2,1,41000,10,16,23,8,7,5,2,1,18,22,6,5,2,2,4,5,3,1,3,3
"83",900332,39,1,-2,3,55000,9,-2,-2,9,-2,-2,2,1,16,-2,-2,-2,1,1,1,6,6,1,3,3
"86",900348,38,1,-2,3,60000,1,8,20,6,4,6,2,1,10,15,6,4,1,1,5,4,4,1,3,2
"87",900349,39,2,3,5,0,10,-2,-2,8,-2,-2,1,1,-4,-2,-2,-2,3,3,5,1,1,3,-3,-3
"89",900352,39,2,2,3,115600,9,7,30,8,6,8,2,1,10,8,9,7,5,-3,7,1,1,1,-3,-3
"90",900353,39,2,-2,4,98200,9,-2,-2,5,-2,-2,1,1,13,-2,-2,-2,1,1,7,1,1,1,3,3
"91",900354,39,1,-2,3,64500,11,5,18,8,10,6,1,1,10,19,8,7,2,1,3,5,5,2,2,1
